24;R7_58X_D7_Z;11;2;3;26223;
25;R9_59X_65X_B;6;6;6;41165;
26;i7_147_MMC_T;3;11;7;24215;
27;R7_58X_NC_G;11;3;1;24701;
28;i5_114_MMC_C;9;10;7;38065;
29;R9_79X_MMC_Z;4;3;7;28758;
30;i5_136_MMB_R;5;11;8;34699;
31;R7_58X_MMB_C;11;2;8;31304;
32;i7_127_ICUE5D_Y;10;12;4;24174;
33;R7_78X_65X_O;2;3;6;36240;
34;R9_59X_D7_A;6;5;3;38561;
35;i5_136_65X_D;5;1;6;39066;
36;i5_114_65X_X;9;9;6;29140;
37;R9_79X_65X_Y;4;2;6;38696;
38;i7_127_D7_O;10;1;3;40815;
39;R7_77X_D7_H;12;3;3;33393;
40;i5_136_MMC_E;5;12;7;31845;
41;i5_136_MMC_V;5;8;7;26597;
42;i5_114_NC_H;9;9;1;29940;
43;i5_136_ICUE5D_T;5;8;4;25167;
44;R9_59X_MMB_N;6;5;8;22642;
45;i5_136_NC_N;5;1;1;23515;
46;i7_147_MMC_D;3;1;7;29812;
47;R9_59X_D7_F;6;5;3;38557;
48;R9_59X_MMC_X;6;5;7;40434;
49;i7_127_MMB_A;10;11;8;29594;
50;R9_79X_CORE_A;4;4;2;25961;
51;R9_59X_MMC_R;6;5;7;27303;
52;R9_59X_MMC_V;6;6;7;25327;
53;i7_147_D7_W;3;11;3;35857;
54;i7_127_MMB_M;10;12;8;22592;
55;R9_79X_MMB_L;4;2;8;37974;
56;i5_114_20D_Y;9;10;5;24904;
57;i7_127_NC_T;10;11;1;37123;
58;R7_58X_NC_R;11;2;1;26454;
59;i5_136_MMC_C;5;11;7;36606;
60;R7_77X_20D_Y;12;4;5;33556;
61;i5_106_MMC_S;7;10;7;35767;
62;R7_58X_CORE_G;11;4;2;26321;
id_zme;id_ses;puvodni_hod;nova_hod;zmena;datum_cas_zmeny;autor_zmeny
1;1;35321;36300;Cena;22.12.2024 15:39;root@172.19.0.3
2;3;8;7;ID Skríne;22.12.2024 15:41;visitor@172.19.0.3
3;1;36300;35300;Cena;28.12.2024 15:22;root@172.19.0.3
4;5;3;5;ID Procesoru;07.01.2025 12:57;root@172.19.0.3
id_skr;nazev;id_vyr;;;;
1;Fractal Design North Chalk;7;;;;
2;Fractal Design CORE;7;;;;
3;Fractal Design Define 7;7;;;;
4;Corsair iCUE 5000D;8;;;;
5;Corsair 2000D;8;;;;
6;Corsair 6500X;8;;;;
7;Cooler Master MasterCase;9;;;;
8;Cooler Master MASTERBOX;9;;;;
id_cpu;nazev;id_vyr;id_pat;id_mod;;
1;AMD Ryzen 5 7600;1;4;1;;
2;AMD Ryzen 7 7800X3D;1;4;2;;
3;Intel Core i7-14700KF;2;1;5;;
4;AMD Ryzen 9 7950X3D;1;4;3;;
5;Intel Core i5-13600KF;2;1;4;;
6;AMD Ryzen 9 5900X;1;3;3;;
7;Intel Core i5-10600KF;2;2;4;;
8;Intel Core i9-11900;2;2;6;;
9;Intel Core i5-11400F;2;2;4;;
10;Intel Core i7-12700KF;2;1;5;;
11;AMD Ryzen 7 5800X;1;4;2;;
12;AMD Ryzen 7 7700X;1;4;2;;
id_ses;id_gpu;;;;;
30;10;;;;;
27;10;;;;;
13;2;;;;;
6;9;;;;;
6;1;;;;;
11;6;;;;;
29;12;;;;;
29;11;;;;;
1;9;;;;;
15;1;;;;;
41;7;;;;;
20;3;;;;;
19;10;;;;;
33;6;;;;;
33;1;;;;;
32;11;;;;;
32;13;;;;;
35;8;;;;;
43;3;;;;;
43;12;;;;;
38;2;;;;;
38;3;;;;;
23;4;;;;;
23;12;;;;;
18;4;;;;;
18;2;;;;;
31;1;;;;;
12;9;;;;;
17;9;;;;;
26;6;;;;;
34;5;;;;;
22;12;;;;;
14;3;;;;;
10;10;;;;;
5;9;;;;;
5;6;;;;;
25;5;;;;;
25;11;;;;;
2;13;;;;;
40;5;;;;;
39;9;;;;;
8;7;;;;;
8;8;;;;;
21;9;;;;;
7;10;;;;;
24;10;;;;;
24;6;;;;;
36;13;;;;;
36;8;;;;;
3;5;;;;;
9;3;;;;;
9;4;;;;;
37;4;;;;;
28;5;;;;;
28;4;;;;;
42;7;;;;;
4;9;;;;;
16;10;;;;;
16;10;;;;;
46;2;;;;;
50;7;;;;;
50;11;;;;;
51;12;;;;;
52;9;;;;;
52;3;;;;;
47;12;;;;;
44;7;;;;;
53;7;;;;;
53;7;;;;;
45;12;;;;;
48;11;;;;;
48;12;;;;;
49;7;;;;;
57;9;;;;;
57;9;;;;;
59;12;;;;;
59;5;;;;;
58;11;;;;;
54;5;;;;;
54;1;;;;;
55;12;;;;;
56;4;;;;;
60;10;;;;;
61;10;;;;;
id_skr;id_for;;;;;
8;1;;;;;
8;2;;;;;
8;3;;;;;
7;1;;;;;
7;2;;;;;
7;3;;;;;
6;1;;;;;
6;2;;;;;
5;2;;;;;
4;1;;;;;
4;3;;;;;
3;1;;;;;
3;2;;;;;
2;2;;;;;
1;1;;;;;
1;2;;;;;
id_ses;nazev;cena;procento_sleva;sleva;cena_sleva;
1;R5_76_NC_F;35300.00;20;7060.00;28240.00;
id_vyr;nazev;zkratka;;;;
1;Advanced Micro Devices;AMD;;;;
2;Intel Corporation;Intel;;;;
3;Micro-Star International;MSI;;;;
4;ASUSTek Computer;ASUS;;;;
5;Gigabyte Technology;GIGABYTE;;;;
6;InnoVISION Multimedia Limited;Inno3D;;;;
7;Fractal Design;Fractal;;;;
8;Corsair Gaming;Corsair;;;;
9;Cooler Master Technology;Cooler Master;;;;
id_zak;nazev;id_vyr;id_pat;id_cip;id_for;
1;ASUS B760M;1;1;1;2;
2;MSI  X670E;3;4;5;1;
3;GIGABYTE B650;5;4;4;1;
4;ASUS B650M;4;4;4;2;
5;ASUS B550;4;3;6;1;
6;GIGABYTE B550M;5;3;6;2;
7;ASUS Z690;4;1;2;1;
8;MSI Z790;3;1;3;3;
9;ASUS X670E;4;2;5;2;
10;GIGABYTE B550;5;2;6;2;
11;GIGABYTE Z790;5;1;3;1;
12;MSI Z690;3;1;2;1;
